URL,CLASS
https://www.criticalthreats.org/analysis/profile-ibrahim-haji-jama-mead-ibrahim-al-afghani,Profile Report
https://www.criticalthreats.org/analysis/profile-sheikh-mukhtar-robow-abu-mansur,Profile Report
https://www.criticalthreats.org/analysis/profile-al-houthi-movement,Profile Report
https://www.criticalthreats.org/analysis/profile-sheikh-hassan-dahir-aweys,Profile Report
https://www.criticalthreats.org/analysis/profile-ahmed-abdi-godane-mukhtar-abu-zubair,Profile Report
https://www.criticalthreats.org/briefs/threat-update/irans-ex-president-ahmadinejad-raises-the-stakes-against-the-political-establishment,Profile Report
https://www.criticalthreats.org/analysis/profile-ali-mohamed-rage-ali-dhere,Profile Report
https://www.dni.gov/nctc/groups/haqqani_network.html,Profile Report
https://www.dni.gov/nctc/groups/abu_sayyaf.html,Profile Report
https://www.dni.gov/nctc/groups/afghan_taliban.html,Profile Report
https://www.dni.gov/nctc/groups/al_nusrah_front.html,Profile Report
https://www.dni.gov/nctc/groups/ansar_bayt_al_maqdis.html,Profile Report
https://www.dni.gov/nctc/groups/al_shabaab.html,Profile Report
https://www.dni.gov/nctc/groups/ansar_al_sharia.html,Profile Report
https://www.dni.gov/nctc/groups/aqap.html,Profile Report
https://www.dni.gov/nctc/groups/aqim.html,Profile Report
https://www.dni.gov/nctc/groups/al_qaida.html,Profile Report
https://www.dni.gov/nctc/groups/boko_haram.html,Profile Report
https://www.dni.gov/nctc/groups/hezb_e_islami.html,Profile Report
https://www.dni.gov/nctc/groups/hizballah.html,Profile Report
https://www.dni.gov/nctc/groups/hamas.html,Profile Report
https://www.dni.gov/nctc/groups/jem.html,Profile Report
https://www.dni.gov/nctc/groups/ji.html,Profile Report
https://rewardsforjustice.net/english/talal_hamiyah.html,Profile Report
https://rewardsforjustice.net/english/salman_salman.html,Profile Report
https://rewardsforjustice.net/english/abubakar_shekau.html,Profile Report
https://rewardsforjustice.net/english/atef_al_awlaki.html,Profile Report
https://rewardsforjustice.net/english/abu_ubaidah.html,Profile Report
https://rewardsforjustice.net/english/hassan_afgooye.html,Profile Report
https://rewardsforjustice.net/english/salih_al_aruri.html,Profile Report
https://rewardsforjustice.net/english/ali_atwa.html,Profile Report
https://rewardsforjustice.net/english/ali_sayyid_al_bakri.html,Profile Report
https://rewardsforjustice.net/english/ibrahim_al_banna.html,Profile Report
https://rewardsforjustice.net/english/khalid_al_batarfi.html,Profile Report
https://rewardsforjustice.net/english/faker_boussora.html,Profile Report
https://rewardsforjustice.net/english/maalim_daud.html,Profile Report
https://rewardsforjustice.net/english/jaber_elbaneh.html,Profile Report
https://rewardsforjustice.net/english/abdelbasit_hamad.html,Profile Report
https://rewardsforjustice.net/english/mohammed_hamadei.html,Profile Report
https://rewardsforjustice.net/english/aziz_haqqani.html,Profile Report
https://rewardsforjustice.net/english/khalil_haqqani.html,Profile Report
https://rewardsforjustice.net/english/yahya_haqqani.html,Profile Report
https://rewardsforjustice.net/english/khalil_harb.html,Profile Report
https://rewardsforjustice.net/english/ali_el_hoorie.html,Profile Report
https://rewardsforjustice.net/english/hasan_izz_al_din.html,Profile Report
https://rewardsforjustice.net/english/mutaz_al_jaburi.html,Profile Report
https://rewardsforjustice.net/english/sami_al_jaburi.html,Profile Report
https://rewardsforjustice.net/english/ibrahim_jama.html,Profile Report
https://rewardsforjustice.net/english/abderraouf_jdey.html,Profile Report
https://rewardsforjustice.net/english/mahad_karate.html,Profile Report
https://rewardsforjustice.net/english/murat_karayilan.html,Profile Report
https://rewardsforjustice.net/english/hamad_el_khairy.html,Profile Report
https://rewardsforjustice.net/english/fuad_khalaf.html,Profile Report
https://rewardsforjustice.net/english/bashir_mahamoud.html,Profile Report
https://rewardsforjustice.net/english/mohamed_makawi.html,Profile Report
https://rewardsforjustice.net/english/abu_al_masri.html,Profile Report
https://rewardsforjustice.net/english/jehad_mostafa.html,Profile Report
https://rewardsforjustice.net/english/ahmad_al_mughassil.html,Profile Report
https://rewardsforjustice.net/english/muhammad_al_munawar.html,Profile Report
https://rewardsforjustice.net/english/abdelkarim_al_nasser.html,Profile Report
https://rewardsforjustice.net/english/muhammad_ar_rahayyal.html,Profile Report
https://rewardsforjustice.net/english/jamal_rahim.html,Profile Report
https://rewardsforjustice.net/english/ramadan_shallah.html,Profile Report
https://www.nytimes.com/2020/08/17/world/africa/elite-hotel-somalia-mogadishu-attack.html,Incident Report
https://www.bbc.com/news/world-europe-54500555,Incident Report
https://www.aljazeera.com/news/2020/10/12/nagorno-karabakh-live-news,Incident Report
https://counteriedreport.com/roadside-bomb-blast-kills-6-soldiers-in-somalia/,Incident Report
https://counteriedreport.com/al-shabaabs-improvised-explosive-device-supply-chain-gambit-in-somalia/,Incident Report
https://counteriedreport.com/several-killed-in-suicide-bombing-outside-mosque-in-somalia/,Incident Report
https://counteriedreport.com/restaurant-in-somali-capital-mogadishu-hit-by-explosion/,Incident Report
https://counteriedreport.com/somalia-sna-thwart-two-car-bomb-attacks-in-southern-somalia/,Incident Report
https://counteriedreport.com/us-service-member-injured-in-al-shabaab-attack-in-somalia/,Incident Report
https://counteriedreport.com/somalia-over-a-dozen-killed-in-hours-long-mogadishu-hotel-siege/,Incident Report
https://counteriedreport.com/suicide-bombing-attack-on-mogadishu-restaurants-kills-at-least-three/,Incident Report
https://counteriedreport.com/amisom-troops-remain-steadfast-amid-covid-19-disruptions/,Incident Report
https://counteriedreport.com/somalias-army-chief-escapes-car-bomb-attack-in-mogadishu/,Incident Report
https://counteriedreport.com/two-killed-five-wounded-in-ras-al-ayn-syria-bombing/,Incident Report
https://counteriedreport.com/russian-army-develops-system-to-detect-suicide-bombers-in-crowds-using-syrian-experience/,Incident Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-october-7-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-october-9-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-october-5-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-october-2-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-23-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-16-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-14-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-11-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-9-2020,Situation Report
https://insidedefense.com/insider/week-ahead-241,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-3-2020,Situation Report
https://www.defenseindustrydaily.com/f18-hornet-fleets-keeping-em-flying-02816/,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-28-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-august-21-2020,Situation Report
https://www.criticalthreats.org/briefs/gulf-of-aden-security-review/gulf-of-aden-security-review-september-2-2020,Situation Report
https://www.dni.gov/nctc/groups/haqqani_network.html,Profile Report
https://www.dni.gov/nctc/groups/turkey_domestic_terrorism.html,Profile Report
https://rewardsforjustice.net/english/ayman_zawahiri.html,Profile Report
https://rewardsforjustice.net/english/abdullah_abdullah.html,Profile Report
https://rewardsforjustice.net/english/saif_al_adel.html,Profile Report
https://www.dni.gov/nctc/groups/isil.html,Profile Report
https://www.dni.gov/nctc/groups/lt.html,Profile Report
https://www.dni.gov/nctc/groups/lra.html,Profile Report
https://www.dni.gov/nctc/groups/lj.html,Profile Report
https://www.dni.gov/nctc/groups/ttp.html,Profile Report
https://rewardsforjustice.net/english/sirajuddin_haqqani.html,Profile Report
https://rewardsforjustice.net/english/muhammad_al_jawlani.html,Profile Report
https://rewardsforjustice.net/english/amir_al_malwa.html,Profile Report
https://rewardsforjustice.net/english/hafiz_saeed.html,Profile Report
https://rewardsforjustice.net/english/yasin_al_suri.html,Profile Report
https://ctc.usma.edu/remaining-and-expanding-the-recovery-of-islamic-state-operations-in-iraq-in-2019-2020/,Analytical Report
https://ctc.usma.edu/operation-marksburg-frontline-field-investigation-prosecution-terrorism/,Analytical Report
https://www.reuters.com/article/us-usa-election-foreign-policy-factbox/factbox-the-foreign-policy-issues-that-divide-trump-and-biden-idUSKCN24S134,Analytical Report
http://www.warfare.today/2017/02/08/russia-prepares-for-war/,Analytical Report
https://www.criticalthreats.org/analysis/isis-resilient-on-sixth-anniversary,Analytical Report
https://www.criticalthreats.org/briefs/africa-file/africa-file-october-16-2019,Analytical Report
https://www.criticalthreats.org/analysis/al-shabaabs-first-international-strike-analysis-of-the-july-11-uganda-bombings,Analytical Report
https://www.politico.com/magazine/story/2019/08/30/hong-kong-protest-democracy-analysis-poland-solidarity-227990,Analytical Report
https://ctc.usma.edu/back-into-the-shadows-the-future-of-kataib-hezbollah-and-irans-other-proxies-in-iraq/,Analytical Report
https://ctc.usma.edu/afghanistans-future-emirate-the-taliban-and-the-struggle-for-afghanistan/,Analytical Report
https://freedomhouse.org/article/recent-wins-and-defeats-beijings-global-media-influence-campaign,Analytical Report
https://freedomhouse.org/article/ensuring-democracy-holds-moldova,Analytical Report
https://freedomhouse.org/article/hong-kongs-academic-freedom-withers-under-national-security-law,Analytical Report
https://issafrica.org/impact/sadc-strengthens-strategy-to-silence-the-guns,Analytical Report
https://issafrica.org/iss-today/tensions-cloud-december-polls-in-ghana,Analytical Report
